#H201903;201903.jpg;Futbolaren Zientziaren Golak;Jon Larruskain Zabala
#H201902;201902.jpg;Estresatuta Sentitzen Garenean, Zergatik Gaixotzen Gara Errazago?; Eneritz Gómez Lázaro
#H201901;201901.jpg;El Ecosistema Marino Persiguiendo el Cambio Climático;Guillem Chust
#H201812;201812.jpg;Gorputzaren Mapa Osatzen: Sistema Miofasciala;Nagore Basterra Berridi
#H201811;201811.jpg;La Transexualidad desde la Ciencia;Sarai Montes Aguilar
#H201810_2;201810_2.jpg;Kautxoaren Aplikazioa Automobilgintzan, Garbigailuetan eta Beste Sektoreetan. Cikautxoaren Esperientzia;Amaia Aulestia eta Jose Santos  
#H201810;201810.jpg;Biotecnologías Modernas y Agricultura: Luces y Sombras;Mertxe De Renobales Scheifler
#H201806;201806.jpg;ITER Poiektua eta Fusio Nuklearra, Etorkizuneko Energia?;Goretti Sevillano Berasategi
#H201805_2;201805_2.jpg;Euskal Herriko Ibaien Kontserbazioa;Arturo Elosegi Irrutia
#H201805;201805.jpg;Sorkuntza eta Zientzia, Sukalderako Bidelagunak;Daniel Lasa Etxegoien
#H201804;201804.jpg;Buruko eta Lepoko Minbizia. Aurrerapenak Laringeko Minbizian.;Juan Ramón Iriondo Bedialauneta 
#H201803;201803.jpg;Gliomen Modelizazioa: Erreakzio-Difusio Ekuazioa;Elisabete Alberdi Zelaia
#H201802;201802.jpg;Nola Gidatzen Dira Espaziontziak?;Ander Martínez de Albeniz Ausin
#H201710_2;201710_2.jpg;CERN, una Ventana al Universo Invisible;Pilar Hernández Gamazo 
#H201801;201801.jpg;Inteligencia Artificial: Progreso o Amenaza;Jose Antonio Lozano Alonso
#H201712;201712.jpg;Ahots Teknika: Gure Gorputza Ezagutzen;Leire Gómez Aristondo	
#H201711;201711.jpg;Grafenoa: Atomo Bateko Lodiera Duen Materiala;Amaia Zurutuza Elorza 
#H201710;201710.jpg;Prevenir y Tratar la Enfermedad de Alzheimer: Una Visión Moderna;Pablo Martínez-Lage
#H201706;201706.jpg;Aspectos Sorprendentes del Sistema Solar;Esteban Esteban Peñalba
#H201705_2;201705_2.jpg;Genomaren Sekretuak Argitu Nahirik;Ana Mari Zubiaga Elordieta
#H201705_1;201705_1.jpg;Guerra en Siria e Irak: El Rol de la Ciancia y la Tecnología en las Guerras;Aitor Zabalgogeazkoa Llodio	
#H201704;201704.jpg;Kantabriar Mendikateko Hartzak;Fernando Garitagoitia Pradera
#H201703;201703.jpg;Mujeres y Ciencia ¿Una Ecuación imposible?;Marta Macho Stadler
#H201702;201702.jpg;Zer Egin Dezake Zientziak Estropadak Irabazteko? ;Jon Lasa
#H201701;201701.jpg;La Dosis Importa. Quimifobia, numeros E- y homeopatía;Juan J. Iruin Sanz
#H201612;201612.jpg;Espeologia. Lurpeko Unibertso Bat Esploratzen;Josu Ceberio Uribe 
#H201611;201611.jpg;Klima Aldaketa: Geldiarazteko Garaiz Gabiltza?;Onintze Salazar
#H201610;201610.jpg;Dislexia Ebolutiboa. Ikerkuntzatik Esku-hartzera;Joana Atxa Morcillo
#H2016092;201609_2.jpg;Ciencia y Técnica en la Investigación Criminal: La B&uacute;squeda de la Verdad;Francisco Etxeberria Gabilondo
#H2016091;201609_1.jpg;La Cueva de Atxurra. Una Nueva Mirada al Arte Parietal Paleolítico de Euskal Herria;Diego Garate Maidagan
#Aurrekoak;aurrekoak.jpg;Aurreko Hitzaldiak;
